,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11209,11210,14.0028406,55.8160805,1387014.8,6188924.8,1.0,1.0,56045,911.27,30.19,463.79,21.53,182.06,13.49,67.01,8.19,47.01,6.86,128.03,11.31,68.88,8.3,102.09,10.1,11.97,3.46,13.99,3.74
11210,11211,14.0028837,55.8160428,1387017.4,6188920.5,1.0,0.99,56050,924.61,30.53,462.99,21.6,180.07,13.47,65.54,8.13,48.64,7.0,126.51,11.29,83.23,9.16,104.44,10.26,13.45,3.68,14.29,3.8
11211,11212,14.0029245,55.8160042,1387019.9,6188916.2,1.0,0.98,56055,911.82,30.47,452.2,21.46,180.0,13.54,62.79,8.0,51.24,7.22,123.12,11.2,103.87,10.28,112.91,10.72,14.52,3.84,14.44,3.83
11212,11213,14.0029651,55.8159655,1387022.3,6188911.8,1.0,0.98,56060,885.42,30.04,446.02,21.32,183.31,13.67,60.57,7.86,49.68,7.12,116.55,10.9,111.34,10.65,118.62,11.0,13.68,3.73,14.08,3.79
11213,11214,14.0030067,55.8159272,1387024.8,6188907.5,1.0,0.99,56065,858.52,29.45,447.86,21.27,189.06,13.82,59.95,7.78,43.19,6.6,108.15,10.45,100.3,10.06,118.03,10.92,11.06,3.34,13.32,3.67
11214,11215,14.0030487,55.815889,1387027.3,6188903.1,1.0,1.0,56070,845.05,29.07,445.31,21.1,192.96,13.89,60.94,7.81,37.12,6.09,103.05,10.15,85.36,9.24,115.08,10.73,9.03,3.0,12.99,3.61
11215,11216,14.0030905,55.8158507,1387029.8,6188898.8,1.0,1.0,56075,853.14,29.18,429.74,20.71,191.52,13.82,63.18,7.94,35.99,5.99,105.01,10.24,79.61,8.91,113.19,10.63,9.54,3.08,13.62,3.69
11216,11217,14.003132,55.8158124,1387032.3,6188894.5,1.0,1.0,56080,864.99,29.4,414.56,20.36,186.01,13.64,64.93,8.06,38.5,6.2,110.7,10.52,82.81,9.1,110.86,10.53,11.83,3.44,14.16,3.76
11217,11218,14.0031734,55.8157741,1387034.8,6188890.1,1.0,1.0,56085,857.08,29.27,417.99,20.44,179.04,13.38,64.24,8.01,41.82,6.46,115.04,10.72,91.03,9.54,105.55,10.27,14.44,3.8,13.25,3.64
11218,11219,14.0032149,55.8157357,1387037.3,6188885.8,1.0,1.0,56090,830.31,28.78,437.33,20.89,173.94,13.17,62.18,7.88,43.72,6.6,116.35,10.77,100.05,9.99,99.64,9.97,16.63,4.07,11.23,3.35
11219,11220,14.003257,55.8156976,1387039.8,6188881.5,1.0,1.0,56095,806.12,28.41,452.3,21.28,174.69,13.22,62.32,7.9,42.52,6.52,115.85,10.77,105.46,10.28,99.69,9.99,18.21,4.27,9.91,3.15
11220,11221,14.0032996,55.8156596,1387042.4,6188877.2,1.0,0.99,56100,799.0,28.43,450.32,21.34,182.45,13.59,66.07,8.17,37.97,6.2,114.3,10.75,104.75,10.29,108.41,10.47,18.88,4.37,10.39,3.24
11221,11222,14.0033411,55.8156213,1387044.9,6188872.9,1.0,0.98,56105,804.82,28.65,439.28,21.17,191.41,13.97,69.26,8.4,33.31,5.83,111.17,10.65,100.2,10.11,118.76,11.01,17.88,4.27,11.88,3.48
11222,11223,14.00338,55.8155821,1387047.2,6188868.4,1.0,0.98,56110,816.74,28.82,429.49,20.9,195.42,14.1,67.64,8.29,31.9,5.7,106.08,10.39,94.6,9.81,123.17,11.19,14.72,3.87,13.39,3.69
11223,11224,14.0034164,55.8155422,1387049.4,6188863.9,1.0,0.99,56115,829.26,28.89,425.7,20.7,194.07,13.97,62.89,7.96,33.66,5.82,101.28,10.1,88.99,9.46,121.7,11.07,11.49,3.4,14.51,3.82
11224,11225,14.0034516,55.8155019,1387051.5,6188859.4,1.0,1.0,56120,837.52,28.92,430.05,20.73,189.67,13.76,59.46,7.71,36.92,6.07,100.3,10.01,83.61,9.14,118.01,10.86,11.48,3.39,15.1,3.88
11225,11226,14.0034869,55.8154616,1387053.5,6188854.8,1.0,1.0,56125,839.87,28.96,441.61,21.0,185.36,13.61,59.87,7.73,40.23,6.34,104.64,10.22,79.64,8.92,115.33,10.73,15.33,3.91,15.17,3.89
